room_id,check_in,check_out,room_name,room_plan,price
6bd4c1fad5f0fda81f452b01e61a1a36,5/19/2025,5/20/2025,Super Deluxe Room With Balcony,CP,7077
4e33e91489ad7ad5bfbe9607c9b5eea8,5/22/2025,5/23/2025,Deluxe Room Non View,EP,4398
4e33e91489ad7ad5bfbe9607c9b5eea8,5/22/2025,5/23/2025,Deluxe Room Non View,CP,4398
4e33e91489ad7ad5bfbe9607c9b5eea8,5/22/2025,5/23/2025,Deluxe Room Non View,CP,5861
6bd4c1fad5f0fda81f452b01e61a1a36,5/22/2025,5/23/2025,Super Deluxe Room With Balcony,EP,5614
6bd4c1fad5f0fda81f452b01e61a1a36,5/22/2025,5/23/2025,Super Deluxe Room With Balcony,CP,5614
6bd4c1fad5f0fda81f452b01e61a1a36,5/22/2025,5/23/2025,Super Deluxe Room With Balcony,CP,7077
4e33e91489ad7ad5bfbe9607c9b5eea8,5/23/2025,5/24/2025,Deluxe Room Non View,EP,5367
4e33e91489ad7ad5bfbe9607c9b5eea8,5/23/2025,5/24/2025,Deluxe Room Non View,CP,5367
4e33e91489ad7ad5bfbe9607c9b5eea8,5/23/2025,5/24/2025,Deluxe Room Non View,CP,6830
6bd4c1fad5f0fda81f452b01e61a1a36,5/23/2025,5/24/2025,Super Deluxe Room With Balcony,EP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,5/23/2025,5/24/2025,Super Deluxe Room With Balcony,CP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,5/23/2025,5/24/2025,Super Deluxe Room With Balcony,CP,8056
6bd4c1fad5f0fda81f452b01e61a1a36,5/24/2025,5/25/2025,Super Deluxe Room With Balcony,EP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,5/24/2025,5/25/2025,Super Deluxe Room With Balcony,CP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,5/24/2025,5/25/2025,Super Deluxe Room With Balcony,CP,8056
5a9d8ba7ee6769e3aec572c063da3d29,5/29/2025,5/30/2025,Standard Room Non View,EP,4398
5a9d8ba7ee6769e3aec572c063da3d29,5/29/2025,5/30/2025,Standard Room Non View,CP,4398
5a9d8ba7ee6769e3aec572c063da3d29,5/29/2025,5/30/2025,Standard Room Non View,CP,5861
6bd4c1fad5f0fda81f452b01e61a1a36,5/29/2025,5/30/2025,Super Deluxe Room With Balcony,EP,5614
6bd4c1fad5f0fda81f452b01e61a1a36,5/29/2025,5/30/2025,Super Deluxe Room With Balcony,CP,5614
6bd4c1fad5f0fda81f452b01e61a1a36,5/29/2025,5/30/2025,Super Deluxe Room With Balcony,CP,7077
5a9d8ba7ee6769e3aec572c063da3d29,5/30/2025,5/31/2025,Standard Room Non View,EP,5367
5a9d8ba7ee6769e3aec572c063da3d29,5/30/2025,5/31/2025,Standard Room Non View,CP,5367
5a9d8ba7ee6769e3aec572c063da3d29,5/30/2025,5/31/2025,Standard Room Non View,CP,6830
6bd4c1fad5f0fda81f452b01e61a1a36,5/30/2025,5/31/2025,Super Deluxe Room With Balcony,EP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,5/30/2025,5/31/2025,Super Deluxe Room With Balcony,CP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,5/30/2025,5/31/2025,Super Deluxe Room With Balcony,CP,8056
4e33e91489ad7ad5bfbe9607c9b5eea8,6/8/2025,6/9/2025,Deluxe Room Non View,EP,5367
4e33e91489ad7ad5bfbe9607c9b5eea8,6/8/2025,6/9/2025,Deluxe Room Non View,CP,5367
4e33e91489ad7ad5bfbe9607c9b5eea8,6/8/2025,6/9/2025,Deluxe Room Non View,CP,6830
6bd4c1fad5f0fda81f452b01e61a1a36,6/9/2025,6/10/2025,Super Deluxe Room With Balcony,EP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,6/9/2025,6/10/2025,Super Deluxe Room With Balcony,CP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,6/9/2025,6/10/2025,Super Deluxe Room With Balcony,CP,8056
6bd4c1fad5f0fda81f452b01e61a1a36,6/10/2025,6/11/2025,Super Deluxe Room With Balcony,EP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,6/10/2025,6/11/2025,Super Deluxe Room With Balcony,CP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,6/10/2025,6/11/2025,Super Deluxe Room With Balcony,CP,8056
6bd4c1fad5f0fda81f452b01e61a1a36,6/11/2025,6/12/2025,Super Deluxe Room With Balcony,EP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,6/11/2025,6/12/2025,Super Deluxe Room With Balcony,CP,6593
6bd4c1fad5f0fda81f452b01e61a1a36,6/11/2025,6/12/2025,Super Deluxe Room With Balcony,CP,8056
